type_id,group_id,category_id,name
459,53,7,Heavy Beam Laser I
460,53,7,Dual Heavy Pulse Laser I
461,53,7,Dual Heavy Beam Laser I
462,53,7,Mega Pulse Laser I
463,53,7,Mega Beam Laser I
464,53,7,Tachyon Beam Laser I
482,54,7,Miner II
483,54,7,Miner I
484,55,7,125mm Gatling AutoCannon I
485,55,7,150mm Light AutoCannon I
486,55,7,200mm AutoCannon I
487,55,7,250mm Light Artillery Cannon I
488,55,7,280mm Howitzer Artillery I
489,55,7,Dual 180mm AutoCannon I
490,55,7,220mm Vulcan AutoCannon I
491,55,7,425mm AutoCannon I
492,55,7,650mm Artillery Cannon I
493,55,7,720mm Howitzer Artillery I
494,55,7,Dual 425mm AutoCannon I
495,55,7,Dual 650mm Repeating Cannon I
496,55,7,800mm Repeating Cannon I
497,55,7,1200mm Artillery Cannon I
498,55,7,1400mm Howitzer Artillery I
499,509,7,Light Missile Launcher I
501,510,7,Heavy Missile Launcher I
503,508,7,Torpedo Launcher I
506,767,7,'Basic' Capacitor Power Relay
508,770,7,'Basic' Shield Flux Coil
509,768,7,'Basic' Capacitor Flux Coil
518,59,7,'Basic' Gyrostabilizer
519,59,7,Gyrostabilizer II
520,59,7,Gyrostabilizer I
521,60,7,'Basic' Damage Control
522,61,7,'Micro' Cap Battery
523,62,7,Small Armor Repairer I
524,63,7,Small Hull Repairer I
526,65,7,Stasis Webifier I
527,65,7,Stasis Webifier II
529,67,7,Small Remote Capacitor Transmitter I
530,68,7,Small Energy Nosferatu I
533,71,7,Small Energy Neutralizer I
561,74,7,75mm Gatling Rail I
562,74,7,Light Electron Blaster I
563,74,7,Light Ion Blaster I
564,74,7,Light Neutron Blaster I
565,74,7,150mm Railgun I
566,74,7,Heavy Electron Blaster I
567,74,7,Dual 150mm Railgun I
568,74,7,Heavy Neutron Blaster I
569,74,7,Heavy Ion Blaster I
570,74,7,250mm Railgun I
571,74,7,Electron Blaster Cannon I
572,74,7,Dual 250mm Railgun I
573,74,7,Neutron Blaster Cannon I
574,74,7,425mm Railgun I
575,74,7,Ion Blaster Cannon I
577,76,7,Medium Capacitor Booster I
578,77,7,Multispectrum Shield Hardener I
580,80,7,Burst Jammer I
581,82,7,Passive Targeter I
582,25,6,Bantam
583,25,6,Condor
584,25,6,Griffin
585,25,6,Slasher
586,25,6,Probe
587,25,6,Rifter
588,237,6,Reaper
589,25,6,Executioner
590,25,6,Inquisitor
591,25,6,Tormentor
592,25,6,Navitas
593,25,6,Tristan
594,25,6,Incursus
595,25,6,Gallente Police Ship
596,237,6,Impairor
597,25,6,Punisher
598,25,6,Breacher
599,25,6,Burst
600,25,6,Minmatar Peacekeeper Ship
601,237,6,Ibis
602,25,6,Kestrel
603,25,6,Merlin
605,25,6,Heron
606,237,6,Velator
607,25,6,Imicus
608,25,6,Atron
609,25,6,Maulus
613,25,6,Devourer
614,25,6,Fury
615,237,6,Immolator
616,25,6,Medusa
617,237,6,Echo
618,25,6,Lynx
619,25,6,Swordspine
620,26,6,Osprey
621,26,6,Caracal
622,26,6,Stabber
623,26,6,Moa
624,26,6,Maller
625,26,6,Augoror
626,26,6,Vexor
627,26,6,Thorax
628,26,6,Arbitrator
629,26,6,Rupture
630,26,6,Bellicose
631,26,6,Scythe
632,26,6,Blackbird
633,26,6,Celestis
634,26,6,Exequror
635,26,6,Opux Luxury Yacht
638,27,6,Raven
639,27,6,Tempest
640,27,6,Scorpion
641,27,6,Megathron
642,27,6,Apocalypse
643,27,6,Armageddon
644,27,6,Typhoon
645,27,6,Dominix
648,28,6,Badger
649,28,6,Tayra
650,28,6,Nereus
651,28,6,Hoarder
652,28,6,Mammoth
653,28,6,Wreathe
654,28,6,Kryos
655,28,6,Epithal
656,28,6,Miasmos
657,28,6,Iteron Mark V
670,29,6,Capsule
671,30,6,Erebus
672,31,6,Caldari Shuttle
681,104,9,Clone Grade Beta Blueprint
682,104,9,Clone Grade Gamma Blueprint
683,105,9,Bantam Blueprint
684,105,9,Condor Blueprint
685,105,9,Griffin Blueprint
686,106,9,Osprey Blueprint
687,106,9,Caracal Blueprint
688,107,9,Raven Blueprint
689,105,9,Slasher Blueprint
690,105,9,Probe Blueprint
691,105,9,Rifter Blueprint
692,106,9,Stabber Blueprint
693,107,9,Tempest Blueprint
784,134,9,Miner II Blueprint
785,134,9,Miner I Blueprint
786,136,9,Light Missile Launcher I Blueprint
788,136,9,Heavy Missile Launcher I Blueprint
790,136,9,Torpedo Launcher I Blueprint
803,166,9,Mjolnir Cruise Missile Blueprint
804,166,9,Scourge Cruise Missile Blueprint
805,166,9,Inferno Cruise Missile Blueprint
806,166,9,Nova Cruise Missile Blueprint
807,166,9,Nova Heavy Missile Blueprint
808,166,9,Mjolnir Heavy Missile Blueprint
809,166,9,Inferno Heavy Missile Blueprint
810,166,9,Scourge Heavy Missile Blueprint
811,166,9,Scourge Light Missile Blueprint
812,166,9,Inferno Light Missile Blueprint
813,166,9,Mjolnir Light Missile Blueprint
814,166,9,Nova Light Missile Blueprint
819,135,9,125mm Gatling AutoCannon I Blueprint
820,135,9,150mm Light AutoCannon I Blueprint
821,135,9,200mm AutoCannon I Blueprint
822,135,9,250mm Light Artillery Cannon I Blueprint
823,135,9,280mm Howitzer Artillery I Blueprint
824,135,9,Dual 180mm AutoCannon I Blueprint
825,135,9,220mm Vulcan AutoCannon I Blueprint
826,135,9,425mm AutoCannon I Blueprint
827,135,9,650mm Artillery Cannon I Blueprint
828,135,9,720mm Howitzer Artillery I Blueprint
829,135,9,Dual 425mm AutoCannon I Blueprint
830,135,9,Dual 650mm Repeating Cannon I Blueprint
831,135,9,800mm Repeating Cannon I Blueprint
832,135,9,1200mm Artillery Cannon I Blueprint
833,135,9,1400mm Howitzer Artillery I Blueprint
834,133,9,Gatling Pulse Laser I Blueprint
835,133,9,Dual Light Pulse Laser I Blueprint
836,133,9,Dual Light Beam Laser I Blueprint
837,133,9,Small Focused Pulse Laser I Blueprint
838,133,9,Small Focused Beam Laser I Blueprint
839,133,9,Quad Light Beam Laser I Blueprint
840,133,9,Focused Medium Pulse Laser I Blueprint
841,133,9,Focused Medium Beam Laser I Blueprint
842,133,9,Heavy Pulse Laser I Blueprint
843,133,9,Heavy Beam Laser I Blueprint
844,133,9,Dual Heavy Pulse Laser I Blueprint
845,133,9,Dual Heavy Beam Laser I Blueprint
846,133,9,Mega Pulse Laser I Blueprint
847,133,9,Mega Beam Laser I Blueprint
848,133,9,Tachyon Beam Laser I Blueprint
879,165,9,Carbonized Lead S Blueprint
880,165,9,Nuclear S Blueprint
881,165,9,Proton S Blueprint
882,165,9,Depleted Uranium S Blueprint
883,165,9,Titanium Sabot S Blueprint
884,165,9,Fusion S Blueprint
885,165,9,Phased Plasma S Blueprint
886,165,9,EMP S Blueprint
887,165,9,Carbonized Lead M Blueprint
888,165,9,Nuclear M Blueprint
889,165,9,Proton M Blueprint
890,165,9,Depleted Uranium M Blueprint
891,165,9,Titanium Sabot M Blueprint
892,165,9,Fusion M Blueprint
893,165,9,Phased Plasma M Blueprint
894,165,9,EMP M Blueprint
895,165,9,Carbonized Lead L Blueprint
896,165,9,Nuclear L Blueprint
897,165,9,Proton L Blueprint
898,165,9,Depleted Uranium L Blueprint
899,165,9,Titanium Sabot L Blueprint
900,165,9,Fusion L Blueprint
901,165,9,Phased Plasma L Blueprint
902,165,9,EMP L Blueprint
935,105,9,Reaper Blueprint
936,105,9,Executioner Blueprint
937,105,9,Inquisitor Blueprint
938,105,9,Tormentor Blueprint
939,105,9,Navitas Blueprint
940,105,9,Tristan Blueprint
941,105,9,Incursus Blueprint
943,105,9,Impairor Blueprint
944,105,9,Punisher Blueprint
945,105,9,Breacher Blueprint
946,105,9,Burst Blueprint
947,105,9,Minmatar Peacekeeper Ship Blueprint
948,105,9,Ibis Blueprint
949,105,9,Kestrel Blueprint
950,105,9,Merlin Blueprint
952,105,9,Heron Blueprint
953,105,9,Velator Blueprint
954,105,9,Imicus Blueprint
955,105,9,Atron Blueprint
956,105,9,Maulus Blueprint
960,105,9,Devourer Blueprint
961,105,9,Fury Blueprint
962,105,9,Immolator Blueprint
963,105,9,Medusa Blueprint
964,105,9,Echo Blueprint
965,105,9,Lynx Blueprint
966,105,9,Swordspine Blueprint
967,111,9,Caldari Shuttle Blueprint
968,106,9,Moa Blueprint
969,106,9,Maller Blueprint
970,106,9,Augoror Blueprint
971,106,9,Vexor Blueprint
972,106,9,Thorax Blueprint
973,106,9,Arbitrator Blueprint
974,106,9,Rupture Blueprint
975,106,9,Bellicose Blueprint
976,106,9,Scythe Blueprint
977,106,9,Blackbird Blueprint
978,106,9,Celestis Blueprint
979,106,9,Exequror Blueprint
983,108,9,Badger Blueprint
984,108,9,Tayra Blueprint
985,108,9,Nereus Blueprint
986,108,9,Hoarder Blueprint
987,108,9,Mammoth Blueprint
988,108,9,Wreathe Blueprint
989,108,9,Kryos Blueprint
990,108,9,Epithal Blueprint
991,108,9,Miasmos Blueprint
992,108,9,Iteron Mark V Blueprint
994,107,9,Scorpion Blueprint
995,107,9,Megathron Blueprint
996,107,9,Apocalypse Blueprint
997,107,9,Armageddon Blueprint
998,107,9,Typhoon Blueprint
999,107,9,Dominix Blueprint
1002,110,9,Erebus Blueprint
1010,118,9,Small Shield Extender I Blueprint
1013,118,9,Small Shield Extender II Blueprint
1026,119,9,Shield Recharger I Blueprint
1027,119,9,Shield Recharger II Blueprint
1032,120,9,Small Shield Booster I Blueprint
1033,120,9,Small Shield Booster II Blueprint
1067,126,9,5MN Microwarpdrive I Blueprint
1071,126,9,1MN Afterburner II Blueprint
1072,126,9,1MN Afterburner I Blueprint
1073,126,9,5MN Microwarpdrive II Blueprint
1074,127,9,Cargo Scanner I Blueprint
1075,128,9,Ship Scanner I Blueprint
1076,129,9,Survey Scanner I Blueprint
1079,132,9,Warp Scrambler I Blueprint
1080,132,9,Warp Scrambler II Blueprint
1095,139,9,Gyrostabilizer II Blueprint
1096,139,9,Gyrostabilizer I Blueprint
1099,142,9,Small Armor Repairer I Blueprint
1100,143,9,Small Hull Repairer I Blueprint
1102,145,9,Stasis Webifier I Blueprint
1103,145,9,Stasis Webifier II Blueprint
1105,147,9,Small Remote Capacitor Transmitter I Blueprint
1106,148,9,Small Energy Nosferatu I Blueprint
1109,151,9,Small Energy Neutralizer I Blueprint
1112,154,9,75mm Gatling Rail I Blueprint
1113,154,9,Light Electron Blaster I Blueprint
1114,154,9,Light Ion Blaster I Blueprint
1115,154,9,Light Neutron Blaster I Blueprint
1116,154,9,150mm Railgun I Blueprint
1117,154,9,Heavy Electron Blaster I Blueprint
1118,154,9,Dual 150mm Railgun I Blueprint
1119,154,9,Heavy Neutron Blaster I Blueprint
1120,154,9,Heavy Ion Blaster I Blueprint
1121,154,9,250mm Railgun I Blueprint
1122,154,9,Electron Blaster Cannon I Blueprint
1123,154,9,Dual 250mm Railgun I Blueprint
1124,154,9,Neutron Blaster Cannon I Blueprint
1125,154,9,425mm Railgun I Blueprint
1126,154,9,Ion Blaster Cannon I Blueprint
1128,156,9,Medium Capacitor Booster I Blueprint
1129,157,9,Multispectrum Shield Hardener I Blueprint
1130,167,9,Iron Charge S Blueprint
1131,167,9,Tungsten Charge S Blueprint
1132,167,9,Iridium Charge S Blueprint
1133,167,9,Lead Charge S Blueprint
1134,167,9,Thorium Charge S Blueprint
1135,167,9,Uranium Charge S Blueprint
1136,167,9,Plutonium Charge S Blueprint
1137,167,9,Antimatter Charge S Blueprint
1138,167,9,Iron Charge M Blueprint
1139,167,9,Tungsten Charge M Blueprint
1140,167,9,Iridium Charge M Blueprint
1141,167,9,Lead Charge M Blueprint
1142,167,9,Thorium Charge M Blueprint
1143,167,9,Uranium Charge M Blueprint
1144,167,9,Plutonium Charge M Blueprint
1145,167,9,Antimatter Charge M Blueprint
1146,167,9,Iron Charge L Blueprint
1147,167,9,Tungsten Charge L Blueprint
1148,167,9,Iridium Charge L Blueprint
1149,167,9,Lead Charge L Blueprint
1150,167,9,Thorium Charge L Blueprint
1151,167,9,Uranium Charge L Blueprint
1152,167,9,Plutonium Charge L Blueprint
1153,167,9,Antimatter Charge L Blueprint
1154,168,9,Radio S Blueprint
1155,168,9,Microwave S Blueprint
1156,168,9,Infrared S Blueprint
1157,168,9,Standard S Blueprint
1158,168,9,Ultraviolet S Blueprint
1159,168,9,Xray S Blueprint
1160,168,9,Gamma S Blueprint
1161,168,9,Multifrequency S Blueprint
1162,168,9,Radio M Blueprint
1163,168,9,Microwave M Blueprint
1164,168,9,Infrared M Blueprint
1165,168,9,Standard M Blueprint
1166,168,9,Ultraviolet M Blueprint
1167,168,9,Xray M Blueprint
1168,168,9,Gamma M Blueprint
1169,168,9,Multifrequency M Blueprint
1170,168,9,Radio L Blueprint
1171,168,9,Microwave L Blueprint
1172,168,9,Infrared L Blueprint
1173,168,9,Standard L Blueprint
1174,168,9,Ultraviolet L Blueprint
1175,168,9,Xray L Blueprint
1176,168,9,Gamma L Blueprint
1177,168,9,Multifrequency L Blueprint
1178,169,9,Cap Booster 25 Blueprint
1179,169,9,Cap Booster 50 Blueprint
1182,96,7,Auto Targeting System I
1183,62,7,Small Armor Repairer II
1184,142,9,Small Armor Repairer II Blueprint
1185,61,7,Small Cap Battery I
1186,141,9,Small Cap Battery I Blueprint
1190,67,7,Small Remote Capacitor Transmitter II
1191,147,9,Small Remote Capacitor Transmitter II Blueprint
1192,764,7,'Basic' Overdrive Injector System
1193,98,7,'Basic' EM Coating
1194,99,11,Amarr Sentry Gun
1195,43,7,Cap Recharger I
1196,123,9,Cap Recharger I Blueprint
1197,98,7,EM Coating I
1198,98,7,EM Coating II
1201,100,18,Wasp I
1202,101,18,Civilian Mining Drone
1204,163,9,EM Coating I Blueprint
1205,163,9,EM Coating II Blueprint
1208,162,9,Auto Targeting System I Blueprint
1210,160,9,Burst Jammer I Blueprint
1212,161,9,Passive Targeter I Blueprint
1214,176,9,Wasp I Blueprint
1216,166,9,Mjolnir Auto-Targeting Light Missile I Blueprint
1217,174,9,Python Mine Blueprint
1218,177,9,Civilian Mining Drone Blueprint
1220,166,9,Scourge Rocket Blueprint
1221,166,9,Scourge Torpedo Blueprint
1223,451,25,Bistot
1224,459,25,Pyroxeres
1225,452,25,Crokite
1226,456,25,Jaspet
1227,469,25,Omber
1228,460,25,Scordite
1229,467,25,Gneiss
1230,462,25,Veldspar
1231,455,25,Hemorphite
1232,453,25,Dark Ochre
1233,237,6,Polaris Enigma Frigate
1236,764,7,Overdrive Injector System II
1237,158,9,Overdrive Injector System II Blueprint
1240,78,7,'Basic' Reinforced Bulkheads
1242,763,7,'Basic' Nanofiber Internal Structure
1244,764,7,Overdrive Injector System I
1245,158,9,Overdrive Injector System I Blueprint
1246,768,7,Capacitor Flux Coil I
1247,137,9,Capacitor Flux Coil I Blueprint
1248,768,7,Capacitor Flux Coil II
1249,137,9,Capacitor Flux Coil II Blueprint
1254,770,7,Shield Flux Coil I
1255,137,9,Shield Flux Coil I Blueprint
1256,770,7,Shield Flux Coil II
1257,137,9,Shield Flux Coil II Blueprint
1262,98,7,'Basic' Explosive Coating
1264,98,7,Explosive Coating I
1265,163,9,Explosive Coating I Blueprint
1266,98,7,Explosive Coating II
1267,163,9,Explosive Coating II Blueprint
1272,98,7,'Basic' Layered Coating
1274,98,7,Layered Coating I
1275,163,9,Layered Coating I Blueprint
1276,98,7,Layered Coating II
1277,163,9,Layered Coating II Blueprint
1282,98,7,'Basic' Kinetic Coating
1284,98,7,Kinetic Coating I
1285,163,9,Kinetic Coating I Blueprint
1286,98,7,Kinetic Coating II
1287,163,9,Kinetic Coating II Blueprint
1292,98,7,'Basic' Thermal Coating
1294,98,7,Thermal Coating I
1295,163,9,Thermal Coating I Blueprint
1296,98,7,Thermal Coating II
1297,163,9,Thermal Coating II Blueprint
1302,98,7,'Basic' Multispectrum Coating
1304,98,7,Multispectrum Coating I
1305,163,9,Multispectrum Coating I Blueprint
1306,98,7,Multispectrum Coating II
1307,163,9,Multispectrum Coating II Blueprint
1315,765,7,'Basic' Expanded Cargohold
1317,765,7,Expanded Cargohold I
1318,158,9,Expanded Cargohold I Blueprint
1319,765,7,Expanded Cargohold II
1320,158,9,Expanded Cargohold II Blueprint
1333,78,7,Reinforced Bulkheads I
1334,158,9,Reinforced Bulkheads I Blueprint
1335,78,7,Reinforced Bulkheads II
1336,158,9,Reinforced Bulkheads II Blueprint
1351,769,7,'Basic' Reactor Control Unit
1353,769,7,Reactor Control Unit I
1354,137,9,Reactor Control Unit I Blueprint
1355,769,7,Reactor Control Unit II
1356,137,9,Reactor Control Unit II Blueprint
1373,1,1,CharacterType
1374,1,1,CharacterLegacy10
1375,1,1,CharacterLegacy3
1376,1,1,CharacterLegacy4
1377,1,1,CharacterLegacy5
1378,1,1,CharacterLegacy6
1379,1,1,CharacterLegacy11
1380,1,1,CharacterLegacy2
1381,1,1,CharacterLegacy12
1382,1,1,CharacterLegacy9
1383,1,1,CharacterLegacy1
1384,1,1,CharacterLegacy7
1385,1,1,CharacterLegacy8
1386,1,1,CharacterLegacy13
1401,762,7,'Basic' Inertial Stabilizers
1403,762,7,Inertial Stabilizers I
1404,158,9,Inertial Stabilizers I Blueprint
1405,762,7,Inertial Stabilizers II
1406,158,9,Inertial Stabilizers II Blueprint
1419,57,7,'Basic' Shield Power Relay
1422,57,7,Shield Power Relay II
1423,137,9,Shield Power Relay II Blueprint
1436,96,7,Auto Targeting System II
1437,162,9,Auto Targeting System II Blueprint
1445,767,7,Capacitor Power Relay I
1446,137,9,Capacitor Power Relay I Blueprint
1447,767,7,Capacitor Power Relay II
1448,137,9,Capacitor Power Relay II Blueprint
1529,15,3,Caldari Administrative Station
1530,15,3,Caldari Research Station
1531,15,3,Caldari Trading Station
1537,766,7,'Basic' Power Diagnostic System
1539,766,7,Power Diagnostic System I
1540,137,9,Power Diagnostic System I Blueprint
1541,766,7,Power Diagnostic System II
1542,137,9,Power Diagnostic System II Blueprint
1547,72,7,Small Proton Smartbomb I
1548,152,9,Small Proton Smartbomb I Blueprint
1549,72,7,Small Proton Smartbomb II
1550,152,9,Small Proton Smartbomb II Blueprint
1551,72,7,Small Graviton Smartbomb I
1552,152,9,Small Graviton Smartbomb I Blueprint
1553,72,7,Small Graviton Smartbomb II
1554,152,9,Small Graviton Smartbomb II Blueprint
1557,72,7,Small Plasma Smartbomb I
1558,152,9,Small Plasma Smartbomb I Blueprint
1559,72,7,Small Plasma Smartbomb II
1560,152,9,Small Plasma Smartbomb II Blueprint
1563,72,7,Small EMP Smartbomb I
1564,152,9,Small EMP Smartbomb I Blueprint
1565,72,7,Small EMP Smartbomb II
1566,152,9,Small EMP Smartbomb II Blueprint
1601,190,14,Amarr Bonus
1602,190,14,Ni-Kunni Bonus
1603,190,14,Civire Bonus
1604,190,14,Deteis Bonus
1605,190,14,Gallente Bonus
1606,190,14,Intaki Bonus
1607,190,14,Sebiestor Bonus
1608,190,14,Brutor Bonus
1611,191,14,Computer Empathy Bonus
1612,191,14,Ordered Mind Bonus
1613,191,14,Standard DNA Pattern Bonus
1614,191,14,Killer Instinct Bonus
1615,191,14,Deft Hands Bonus
1616,191,14,Structural Understanding Bonus
1617,191,14,Creative Bonus
1618,191,14,Glib Tongue Bonus
1619,191,14,August Demeanor Bonus
1620,191,14,Superior Motion Sense Bonus
1621,191,14,High-G Tolerance Bonus
1622,191,14,Vector Reckoning Bonus
1623,191,14,Stratum Form Feel Bonus
1624,191,14,Doctrine Ingrained Bonus
1625,191,14,Three Dimensional Thinking Bonus
1626,191,14,Swift Neural Grafting Bonus
1627,191,14,Booster Immunity Bonus
1628,193,14,Algiophobia Bonus
1629,193,14,Barophobia Bonus
1630,193,14,Cenophobia Bonus
1631,193,14,Claustrophobia Bonus
1632,193,14,Monophobia Bonus
1633,193,14,Mysophobia Bonus
1634,193,14,Taphephobia Bonus
1635,193,14,Xenophobia Bonus
1636,192,14,Mechanical Inaptitude Bonus
1639,192,14,Weak Double-helix Bond Bonus
1640,192,14,Short Attention Span Bonus
1641,192,14,Wasteful Bonus
1642,192,14,Trigger-happy Bonus
1643,192,14,Epileptic Bonus
1644,192,14,Strong Immunity System Bonus
1650,195,14,Amarr Military Academy Pilot Bonus
1651,195,14,Amarr Military Academy Gunner Bonus
1652,195,14,Amarr Technical School Engineering Bonus
1653,195,14,Amarr Technical School Electronics Bonus
1654,195,14,Amarr Business School Commerce Bonus
1655,195,14,Amarr Business School Industry Bonus
1657,196,14,Caldari Military Academy Pilot Bonus
1658,196,14,Caldari Military Academy Gunner Bonus
1659,196,14,Caldari Technical School Engineering Bonus
1660,196,14,Caldari Technical School Electronics Bonus
1661,196,14,Caldari Business School Commerce Bonus
1662,196,14,Caldari Business School Industry Bonus
1663,197,14,Gallente Military Academy Pilot Bonus
1664,197,14,Gallente Military Academy Gunner Bonus
1665,197,14,Gallente Technical School Engineering Bonus
1666,197,14,Gallente Technical School Electronics Bonus
1667,197,14,Gallente Business School Commerce Bonus
1668,197,14,Gallente Business School Industry Bonus
1669,198,14,Minmatar Military Academy Pilot Bonus
1670,198,14,Minmatar Military Academy Gunner Bonus
1671,198,14,Minmatar Technical School Engineering Bonus
1672,198,14,Minmatar Technical School Electronic Bonus
1673,198,14,Minmatar Business School Commerce Bonus
1674,198,14,Minmatar Business School Industry Bonus
1675,199,14,Bounty Hunter Bonus
1676,199,14,Scientist Bonus
1677,199,14,Industrialist Bonus
1678,199,14,Corporate Magnate Bonus
1679,199,14,Covert-op Bonus
1680,199,14,Navy Captain Bonus
1798,295,7,'Basic' EM Shield Amplifier
1800,295,7,'Basic' Thermal Shield Amplifier
1802,295,7,'Basic' Kinetic Shield Amplifier
1804,295,7,'Basic' Explosive Shield Amplifier
1808,295,7,EM Shield Amplifier I
1809,296,9,EM Shield Amplifier I Blueprint
1810,394,8,Scourge Auto-Targeting Light Missile I
1811,166,9,Scourge Auto-Targeting Light Missile I Blueprint
1814,394,8,Nova Auto-Targeting Light Missile I
1815,166,9,Nova Auto-Targeting Light Missile I Blueprint
1816,394,8,Inferno Auto-Targeting Light Missile I
1817,166,9,Inferno Auto-Targeting Light Missile I Blueprint
1818,395,8,Scourge Auto-Targeting Heavy Missile I
1819,166,9,Scourge Auto-Targeting Heavy Missile I Blueprint
1820,395,8,Mjolnir Auto-Targeting Heavy Missile I
1821,166,9,Mjolnir Auto-Targeting Heavy Missile I Blueprint
1822,395,8,Nova Auto-Targeting Heavy Missile I
1823,166,9,Nova Auto-Targeting Heavy Missile I Blueprint
1824,395,8,Inferno Auto-Targeting Heavy Missile I
1825,166,9,Inferno Auto-Targeting Heavy Missile I Blueprint
